,,Demand
sc02,01-18 17:00:00+01:00,4171.23
sc02,01-18 18:00:00+01:00,4376.636
sc02,01-18 19:00:00+01:00,4338.65
sc02,01-18 20:00:00+01:00,3983.336
sc02,01-18 21:00:00+01:00,3517.492
sc02,01-18 22:00:00+01:00,3312.009
sc02,01-18 23:00:00+01:00,2766.801
sc02,01-19 00:00:00+01:00,2653.01
sc02,01-19 01:00:00+01:00,2570.666
sc02,01-19 02:00:00+01:00,2496.376
sc02,01-19 03:00:00+01:00,2558.642
sc02,01-19 04:00:00+01:00,2756.985
sc02,01-19 05:00:00+01:00,3108.546
sc02,01-19 06:00:00+01:00,3485.925
sc02,01-19 07:00:00+01:00,3770.341
sc02,01-19 08:00:00+01:00,3953.673
sc02,01-19 09:00:00+01:00,4033.05
sc02,01-19 10:00:00+01:00,4036.812
sc02,01-19 11:00:00+01:00,3983.377
sc02,01-19 12:00:00+01:00,3876.078
sc02,01-19 13:00:00+01:00,3760.586
sc02,01-19 14:00:00+01:00,3712.381
sc02,01-19 15:00:00+01:00,3717.428
sc02,01-19 16:00:00+01:00,3836.117
sc02,01-19 17:00:00+01:00,4045.74
sc02,01-19 18:00:00+01:00,4200.742
sc02,01-19 19:00:00+01:00,4149.449
sc02,01-19 20:00:00+01:00,3812.977
sc02,01-19 21:00:00+01:00,3381.752
sc02,01-19 22:00:00+01:00,3204.922
sc02,01-19 23:00:00+01:00,2628.983
sc03,01-13 00:00:00+01:00,2540.015
sc03,01-13 01:00:00+01:00,2405.413
sc03,01-13 02:00:00+01:00,2289.343
sc03,01-13 03:00:00+01:00,2249.273
sc03,01-13 04:00:00+01:00,2247.364
sc03,01-13 05:00:00+01:00,2391.323
sc03,01-13 06:00:00+01:00,2690.142
sc03,01-13 07:00:00+01:00,3042.78
sc03,01-13 08:00:00+01:00,3353.327
sc03,01-13 09:00:00+01:00,3523.15
sc03,01-13 10:00:00+01:00,3579.721
sc03,01-13 11:00:00+01:00,3593.505
sc03,01-13 12:00:00+01:00,3542.655
sc03,01-13 13:00:00+01:00,3412.772
sc03,01-13 14:00:00+01:00,3319.661
sc03,01-13 15:00:00+01:00,3309.616
sc03,01-13 16:00:00+01:00,3439.218
sc03,01-13 17:00:00+01:00,3633.153
